Subdomain,IP,SOA-Primary-NS
cpcalendars.cst.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
www.bireswar.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpcontacts.tannistha.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpanel.sairam.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
catalog.iitgn.ac.in,14.139.98.26,dnsm.iitgn.ac.in.
www.sudiptas.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
mana.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpcalendars.dgarg.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
library.iitgn.ac.in,192.185.129.4,dnsm.iitgn.ac.in.
surjeet.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
babji.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cst.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
webmail.appayee.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
mail.demo.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
math.iitgn.ac.in,192.185.129.4,dnsm.iitgn.ac.in.
donate.iitgn.ac.in,72.1.241.142,dnsm.iitgn.ac.in.
procase.iitgn.ac.in,72.1.241.142,dnsm.iitgn.ac.in.
webdisk.peoplebackupiitgnsubdomains.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
archive.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpcalendars.tannistha.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpcontacts.shanmuga.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
barath.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpcalendars.chetan.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpcontacts.ramesh.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpcontacts.barath.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpcontacts.bireswar.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpcontacts.sriram.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpcontacts.naran.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpcontacts.hegder.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
webmail.sudiptas.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpcontacts.kabeer.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpcontacts.sudiptas.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpcontacts.kprasad.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpcontacts.chandanmishra.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpcontacts.sjolad.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpcontacts.nihar.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
webmail.admin.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpcalendars.pedropombo.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpcontacts.adixit.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
che.iitgn.ac.in,192.185.129.4,dnsm.iitgn.ac.in.
