Subdomain,IP
mtech2012.iitgn.ac.in,72.1.241.142
cpcontacts.krjp.people.iitgn.ac.in,204.15.132.106
sites.iitgn.ac.in,192.185.129.4
moedpo.iitgn.ac.in,72.1.241.142
gateway.iitgn.ac.in,72.1.241.142
ccl.iitgn.ac.in,72.1.241.142
imsmail.iitgn.ac.in,72.1.241.142
design.iitgn.ac.in,192.185.129.4
cpcalendars.lists.safety.iitgn.ac.in,72.1.241.142
cpanel.lists.safety.iitgn.ac.in,72.1.241.142
conrel.iitgn.ac.in,192.185.129.4
bioe.iitgn.ac.in,192.185.129.4
beta.iitgn.ac.in,192.185.129.4
